Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Process,Firefox 61.0,,2018-07-09 16:09:21,2018-07-09 16:09:34,13.171s,PASSED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:09:21,2018-07-09 16:09:34,12.791s,PASSED
openBrowser,Firefox 61.0,,2018-07-09 16:09:21,2018-07-09 16:09:27,5.941s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:09:27,2018-07-09 16:09:29,1.985s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:09:29,2018-07-09 16:09:30,0.427s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:09:30,2018-07-09 16:09:30,0.630s,PASSED
click,Firefox 61.0,,2018-07-09 16:09:30,2018-07-09 16:09:31,0.731s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:09:31,2018-07-09 16:09:31,0.063s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:09:31,2018-07-09 16:09:31,0.072s,PASSED
click,Firefox 61.0,,2018-07-09 16:09:31,2018-07-09 16:09:32,0.482s,PASSED
setText,Firefox 61.0,,2018-07-09 16:09:32,2018-07-09 16:09:32,0.459s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:09:32,2018-07-09 16:09:32,0.116s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:09:32,2018-07-09 16:09:32,0.069s,PASSED
click,Firefox 61.0,,2018-07-09 16:09:32,2018-07-09 16:09:33,0.428s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:09:33,2018-07-09 16:09:33,0.070s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:09:33,2018-07-09 16:09:33,0.100s,PASSED
click,Firefox 61.0,,2018-07-09 16:09:33,2018-07-09 16:09:33,0.340s,PASSED
closeBrowser,Firefox 61.0,,2018-07-09 16:09:33,2018-07-09 16:09:34,0.479s,PASSED
